MAKH,SDT,HOTEN,NGAYSINH,GIOITINH,DIACHI,DIEMTICHLUY
KH0072,0754925722,Khach Hang 72,1977-11-18,Nam,Ho Chi Minh,4095
KH0073,0874968111,Khach Hang 73,1994-07-07,Nu,Hai Phong,1216
KH0074,0868379918,Khach Hang 74,2005-09-01,Nam,Khanh Hoa,2243
KH0075,0362647246,Khach Hang 75,2006-03-27,Nu,Binh Duong,1604
KH0076,0874850332,Khach Hang 76,1977-05-24,Nam,Dong Nai,1494
KH0077,0985051854,Khach Hang 77,1982-12-21,Nu,Da Nang,658
KH0078,0317197103,Khach Hang 78,1988-02-25,Nam,Khanh Hoa,1439
KH0079,0891850010,Khach Hang 79,1982-10-14,Nu,Ho Chi Minh,1337
KH0080,0338761666,Khach Hang 80,1970-04-06,Nam,Binh Duong,1428
KH0081,0850973338,Khach Hang 81,1999-12-20,Nu,Ho Chi Minh,2455
KH0082,0357684490,Khach Hang 82,1976-03-21,Nam,Dong Nai,148
KH0083,0919083493,Khach Hang 83,1973-08-05,Nu,Dong Nai,2506
KH0084,0373281183,Khach Hang 84,1999-06-29,Nam,Hai Phong,3679
KH0085,0795907484,Khach Hang 85,1988-03-29,Nu,Khanh Hoa,2593
KH0086,0747859234,Khach Hang 86,1980-11-17,Nam,Da Nang,2632
KH0087,0340961130,Khach Hang 87,2003-10-04,Nu,Hai Phong,2157
KH0088,0985560244,Khach Hang 88,1973-11-16,Nam,Khanh Hoa,2409
KH0089,0780052320,Khach Hang 89,1998-10-20,Nu,Ho Chi Minh,978
KH0090,0884962489,Khach Hang 90,2005-08-27,Nam,Ho Chi Minh,3512
KH0091,0864449920,Khach Hang 91,1970-05-28,Nu,Khanh Hoa,617
KH0092,0747217636,Khach Hang 92,1982-01-24,Nam,Ho Chi Minh,704
KH0093,0790833484,Khach Hang 93,1994-09-12,Nu,Da Nang,2747
KH0094,0943022162,Khach Hang 94,1986-03-27,Nam,Can Tho,2744
KH0095,0399297045,Khach Hang 95,1982-03-24,Nu,Ho Chi Minh,198
KH0096,0736550183,Khach Hang 96,1971-09-02,Nam,Ho Chi Minh,1646
KH0097,0328319806,Khach Hang 97,1972-08-24,Nu,Khanh Hoa,394
KH0098,0385547149,Khach Hang 98,1976-03-27,Nam,Hai Phong,4438
KH0099,0329789908,Khach Hang 99,1993-02-16,Nu,Khanh Hoa,1833
KH0100,0398505056,Khach Hang 100,1998-01-12,Nam,Dong Nai,4284
KH0101,0375426381,Khach Hang 101,1978-08-06,Nu,Ho Chi Minh,1294
KH0102,0348423039,Khach Hang 102,1977-12-15,Nam,Ha Noi,3445
KH0103,0993055635,Khach Hang 103,1977-12-29,Nu,Ho Chi Minh,52
KH0104,0340373724,Khach Hang 104,1999-09-25,Nam,Hai Phong,2822
KH0105,0380190152,Khach Hang 105,1972-01-15,Nu,Khanh Hoa,2050
KH0106,0747406653,Khach Hang 106,1986-05-31,Nam,Da Nang,2470
KH0107,0738167193,Khach Hang 107,2005-09-30,Nu,Binh Duong,3194
KH0108,0918059669,Khach Hang 108,1971-08-29,Nam,Hai Phong,1166
KH0109,0810889506,Khach Hang 109,1972-08-30,Nu,Da Nang,412
KH0110,0999750547,Khach Hang 110,1970-07-20,Nam,Khanh Hoa,1824
KH0111,0985120000,Khach Hang 111,2003-09-19,Nu,Binh Duong,3643
KH0112,0938554101,Khach Hang 112,2002-12-07,Nam,Khanh Hoa,4070
KH0113,0983019052,Khach Hang 113,1987-05-02,Nu,Hai Phong,3631
KH0114,0337195707,Khach Hang 114,1986-08-25,Nam,Ho Chi Minh,831
KH0115,0344554714,Khach Hang 115,1981-05-20,Nu,Dong Nai,542
KH0116,0360024291,Khach Hang 116,1980-01-25,Nam,Hai Phong,4718
KH0117,0993427886,Khach Hang 117,1981-02-10,Nu,Ho Chi Minh,3717
KH0118,0353660617,Khach Hang 118,1987-01-06,Nam,Hai Phong,4784
KH0119,0961656908,Khach Hang 119,1991-07-21,Nu,Khanh Hoa,1013
KH0120,0887967383,Khach Hang 120,1977-05-09,Nam,Dong Nai,4408
KH0121,0998524618,Khach Hang 121,1986-09-18,Nu,Ho Chi Minh,2624
KH0122,0393007505,Khach Hang 122,1971-09-30,Nam,Khanh Hoa,32
KH0123,0396214716,Khach Hang 123,2003-05-24,Nu,Dong Nai,1055
KH0124,0380373246,Khach Hang 124,1977-10-14,Nam,Ha Noi,4575
KH0125,0911276911,Khach Hang 125,1991-01-02,Nu,Hai Phong,563
KH0126,0315949839,Khach Hang 126,1978-08-11,Nam,Khanh Hoa,2272
KH0127,0729951411,Khach Hang 127,1990-02-12,Nu,Ha Noi,3520
KH0128,0914136125,Khach Hang 128,2005-12-26,Nam,Ho Chi Minh,4415
KH0129,0382121608,Khach Hang 129,1978-06-01,Nu,Da Nang,2225
KH0130,0383982859,Khach Hang 130,1977-03-06,Nam,Ha Noi,4865
KH0131,0371578708,Khach Hang 131,2003-03-03,Nu,Da Nang,3171
KH0132,0945009952,Khach Hang 132,1976-04-10,Nam,Ho Chi Minh,2222
KH0133,0382359508,Khach Hang 133,1994-12-23,Nu,Ha Noi,3682
KH0134,0346299147,Khach Hang 134,1997-12-01,Nam,Khanh Hoa,2439
KH0135,0340322178,Khach Hang 135,2006-06-12,Nu,Ho Chi Minh,4719
KH0136,0839163719,Khach Hang 136,2005-06-30,Nam,Dong Nai,2466
KH0137,0838687820,Khach Hang 137,1992-08-23,Nu,Dong Nai,4998
KH0138,0353894540,Khach Hang 138,1991-10-05,Nam,Khanh Hoa,2453
KH0139,0813105072,Khach Hang 139,1992-07-29,Nu,Ho Chi Minh,4651
KH0140,0950646844,Khach Hang 140,1979-08-03,Nam,Ha Noi,1100
KH0141,0335679545,Khach Hang 141,1991-11-12,Nu,Ha Noi,251
KH0142,0727237683,Khach Hang 142,1984-03-04,Nam,Khanh Hoa,188
KH0143,0913433283,Khach Hang 143,2003-05-07,Nu,Da Nang,3838
KH0144,0391117280,Khach Hang 144,1971-03-06,Nam,Dong Nai,926
KH0145,0912166225,Khach Hang 145,1973-02-07,Nu,Can Tho,1415
KH0146,0897352070,Khach Hang 146,1983-04-13,Nam,Can Tho,3220
KH0147,0396445627,Khach Hang 147,1970-04-04,Nu,Khanh Hoa,316
KH0148,0836340667,Khach Hang 148,1996-04-08,Nam,Dong Nai,972
KH0149,0366258798,Khach Hang 149,1978-07-19,Nu,Hai Phong,1496
KH0150,0951455901,Khach Hang 150,1996-07-27,Nam,Binh Duong,3757
KH0151,0954125436,Khach Hang 151,1989-07-08,Nu,Binh Duong,2493
KH0152,0721601970,Khach Hang 152,1981-01-06,Nam,Da Nang,4106
KH0153,0375689568,Khach Hang 153,1975-10-23,Nu,Ho Chi Minh,213
KH0154,0920698969,Khach Hang 154,1976-10-28,Nam,Binh Duong,8
KH0155,0350116089,Khach Hang 155,1970-07-09,Nu,Hai Phong,203
KH0156,0979780216,Khach Hang 156,1988-04-09,Nam,Da Nang,4048
KH0157,0774823544,Khach Hang 157,1976-02-12,Nu,Ho Chi Minh,82
KH0158,0970650424,Khach Hang 158,1998-03-25,Nam,Ha Noi,1084
KH0159,0337887368,Khach Hang 159,1989-02-17,Nu,Ho Chi Minh,2722
KH0160,0912763102,Khach Hang 160,1977-09-03,Nam,Khanh Hoa,417
KH0161,0991074435,Khach Hang 161,2002-06-22,Nu,Ha Noi,3317
KH0162,0892910424,Khach Hang 162,1972-03-07,Nam,Khanh Hoa,4011
KH0163,0349270569,Khach Hang 163,1976-11-08,Nu,Hai Phong,1838
KH0164,0866008649,Khach Hang 164,2001-03-13,Nam,Binh Duong,2701
KH0165,0719650706,Khach Hang 165,1979-12-31,Nu,Can Tho,1847
KH0166,0899019230,Khach Hang 166,1971-11-15,Nam,Ho Chi Minh,1106
KH0167,0915191184,Khach Hang 167,1991-11-01,Nu,Dong Nai,4392
KH0168,0713202013,Khach Hang 168,1985-10-23,Nam,Ha Noi,2637
KH0169,0753193653,Khach Hang 169,2006-11-29,Nu,Khanh Hoa,1351
KH0170,0326355644,Khach Hang 170,1991-07-14,Nam,Hai Phong,2977
KH0171,0787067152,Khach Hang 171,1999-01-06,Nu,Dong Nai,421
KH0172,0870115870,Khach Hang 172,2006-10-06,Nam,Da Nang,2598
KH0173,0355535978,Khach Hang 173,1995-02-18,Nu,Can Tho,67
KH0174,0732206379,Khach Hang 174,1996-05-08,Nam,Binh Duong,3850
KH0175,0394571639,Khach Hang 175,1970-02-28,Nu,Can Tho,3628
KH0176,0393053889,Khach Hang 176,2000-05-19,Nam,Khanh Hoa,2591
KH0177,0915698277,Khach Hang 177,1995-08-25,Nu,Khanh Hoa,4900
KH0178,0881954460,Khach Hang 178,1971-08-22,Nam,Ha Noi,1595
KH0179,0384445940,Khach Hang 179,1984-02-17,Nu,Hai Phong,3690
KH0180,0885125460,Khach Hang 180,2001-02-28,Nam,Ha Noi,3860
KH0181,0720819144,Khach Hang 181,1986-11-29,Nu,Da Nang,4228
KH0182,0910212551,Khach Hang 182,1984-02-29,Nam,Khanh Hoa,334
KH0183,0940228515,Khach Hang 183,1972-02-27,Nu,Dong Nai,2395
KH0184,0324810337,Khach Hang 184,1977-02-20,Nam,Dong Nai,4270
KH0185,0388403245,Khach Hang 185,2004-10-09,Nu,Hai Phong,331
KH0186,0863203001,Khach Hang 186,1987-04-19,Nam,Khanh Hoa,1765
KH0187,0998756519,Khach Hang 187,1976-11-16,Nu,Can Tho,3097
KH0188,0855210649,Khach Hang 188,1982-02-08,Nam,Da Nang,3807
KH0189,0910153602,Khach Hang 189,1994-10-22,Nu,Da Nang,4714
KH0190,0986365573,Khach Hang 190,2004-02-17,Nam,Dong Nai,117
KH0191,0331958359,Khach Hang 191,1994-06-06,Nu,Can Tho,1916
KH0192,0820047496,Khach Hang 192,1992-03-30,Nam,Can Tho,1450
KH0193,0854028499,Khach Hang 193,1978-06-18,Nu,Dong Nai,2346
KH0194,0779789879,Khach Hang 194,1982-05-24,Nam,Dong Nai,2640
KH0195,0313375475,Khach Hang 195,2003-11-27,Nu,Dong Nai,4202
KH0196,0813722560,Khach Hang 196,2003-06-12,Nam,Khanh Hoa,1879
KH0197,0717719588,Khach Hang 197,2006-02-18,Nu,Can Tho,4809
KH0198,0934068926,Khach Hang 198,1978-11-29,Nam,Can Tho,698
KH0199,0815544717,Khach Hang 199,1982-03-12,Nu,Dong Nai,2144
KH0200,0972776726,Khach Hang 200,1998-12-12,Nam,Dong Nai,346
KH0201,0359864288,Khach Hang 201,1974-10-10,Nu,Ha Noi,1463
KH0202,0318102183,Khach Hang 202,1995-10-31,Nam,Da Nang,32
KH0203,0758179949,Khach Hang 203,1988-12-31,Nu,Can Tho,415
KH0204,0770550326,Khach Hang 204,1981-08-03,Nam,Ho Chi Minh,1560
KH0205,0361044428,Khach Hang 205,1992-04-12,Nu,Can Tho,4829
KH0206,0759606189,Khach Hang 206,1976-10-05,Nam,Hai Phong,3196
KH0207,0959161134,Khach Hang 207,1983-07-22,Nu,Ho Chi Minh,2039
KH0208,0361377256,Khach Hang 208,1984-07-03,Nam,Binh Duong,1556
KH0209,0790736171,Khach Hang 209,1992-11-19,Nu,Ho Chi Minh,3673
KH0210,0894495758,Khach Hang 210,1995-06-05,Nam,Dong Nai,1552
KH0211,0911705924,Khach Hang 211,1991-04-13,Nu,Ha Noi,56
KH0212,0834104786,Khach Hang 212,1998-11-18,Nam,Binh Duong,530
KH0213,0361703291,Khach Hang 213,2000-10-17,Nu,Dong Nai,860
KH0214,0350173179,Khach Hang 214,1997-09-21,Nam,Dong Nai,1093
KH0215,0852160837,Khach Hang 215,1983-05-08,Nu,Khanh Hoa,4744
KH0216,0377048177,Khach Hang 216,1979-06-26,Nam,Khanh Hoa,4596
KH0217,0363552587,Khach Hang 217,1998-11-09,Nu,Ho Chi Minh,208
KH0218,0966737973,Khach Hang 218,1996-09-29,Nam,Can Tho,1583
KH0219,0881576643,Khach Hang 219,1995-06-24,Nu,Hai Phong,3408
KH0220,0929140061,Khach Hang 220,1983-05-27,Nam,Ho Chi Minh,2459
KH0221,0897849056,Khach Hang 221,1974-01-03,Nu,Da Nang,3269
KH0222,0845042410,Khach Hang 222,2006-04-05,Nam,Can Tho,1716
KH0223,0863900398,Khach Hang 223,1982-01-11,Nu,Ha Noi,3860
KH0224,0377131698,Khach Hang 224,1991-08-29,Nam,Ho Chi Minh,4352
KH0225,0757111239,Khach Hang 225,2003-04-15,Nu,Ho Chi Minh,2514
KH0226,0741693282,Khach Hang 226,1984-08-29,Nam,Khanh Hoa,492
KH0227,0735428633,Khach Hang 227,1992-04-23,Nu,Hai Phong,2947
KH0228,0382389440,Khach Hang 228,1980-11-06,Nam,Hai Phong,4074
KH0229,0734464413,Khach Hang 229,2004-12-27,Nu,Binh Duong,3
KH0230,0983187173,Khach Hang 230,1994-08-30,Nam,Can Tho,0
KH0231,0972615295,Khach Hang 231,1975-03-19,Nu,Binh Duong,164
KH0232,0713897857,Khach Hang 232,2000-04-25,Nam,Can Tho,1982
KH0233,0851699681,Khach Hang 233,1979-10-29,Nu,Khanh Hoa,517
KH0234,0899149042,Khach Hang 234,1975-01-25,Nam,Can Tho,769
KH0235,0877542528,Khach Hang 235,1984-04-12,Nu,Can Tho,2308
KH0236,0970103104,Khach Hang 236,2005-04-19,Nam,Khanh Hoa,96
KH0237,0910782549,Khach Hang 237,1988-10-25,Nu,Dong Nai,2031
KH0238,0946212896,Khach Hang 238,1980-10-14,Nam,Ha Noi,2281
KH0239,0322855447,Khach Hang 239,1988-06-10,Nu,Can Tho,2014
KH0240,0860491397,Khach Hang 240,1978-08-13,Nam,Ha Noi,4520
KH0241,0942117156,Khach Hang 241,1970-11-29,Nu,Hai Phong,3081
KH0242,0775566603,Khach Hang 242,2002-10-11,Nam,Khanh Hoa,1360
KH0243,0791124300,Khach Hang 243,1997-09-11,Nu,Hai Phong,4367
KH0244,0829093354,Khach Hang 244,1972-03-16,Nam,Ho Chi Minh,510
KH0245,0751625722,Khach Hang 245,2002-12-28,Nu,Dong Nai,2225
KH0246,0941852108,Khach Hang 246,1976-05-02,Nam,Binh Duong,128
KH0247,0724720926,Khach Hang 247,2006-01-14,Nu,Khanh Hoa,3947
KH0248,0311661504,Khach Hang 248,1973-02-16,Nam,Dong Nai,2659
KH0249,0720603747,Khach Hang 249,1999-03-01,Nu,Can Tho,924
KH0250,0366648798,Khach Hang 250,1996-03-04,Nam,Dong Nai,1903
KH0251,0342389459,Khach Hang 251,2004-05-06,Nu,Can Tho,2181
KH0252,0742317731,Khach Hang 252,1997-03-14,Nam,Can Tho,4376
KH0253,0992469330,Khach Hang 253,2003-09-10,Nu,Dong Nai,1686
KH0254,0839574585,Khach Hang 254,1970-02-15,Nam,Hai Phong,1336
KH0255,0315437964,Khach Hang 255,1983-05-18,Nu,Da Nang,1905
KH0256,0798718303,Khach Hang 256,1976-05-08,Nam,Ho Chi Minh,3074
KH0257,0319652086,Khach Hang 257,1978-03-19,Nu,Da Nang,2746
KH0258,0910560457,Khach Hang 258,1986-05-25,Nam,Ho Chi Minh,1627
KH0259,0852000181,Khach Hang 259,2005-05-25,Nu,Dong Nai,1301
KH0260,0751582324,Khach Hang 260,1973-03-28,Nam,Khanh Hoa,1396
KH0261,0714563672,Khach Hang 261,1992-03-19,Nu,Dong Nai,2699
KH0262,0733055405,Khach Hang 262,1979-05-12,Nam,Ho Chi Minh,2861
KH0263,0916667128,Khach Hang 263,1973-10-25,Nu,Khanh Hoa,708
KH0264,0899571159,Khach Hang 264,1994-03-19,Nam,Dong Nai,4210
KH0265,0348512260,Khach Hang 265,2003-01-18,Nu,Da Nang,549
KH0266,0748031985,Khach Hang 266,1989-11-30,Nam,Khanh Hoa,3085
KH0267,0949753433,Khach Hang 267,1976-09-19,Nu,Khanh Hoa,1903
KH0268,0796693657,Khach Hang 268,1984-12-08,Nam,Khanh Hoa,403
KH0269,0395029344,Khach Hang 269,1995-09-19,Nu,Khanh Hoa,42
KH0270,0360985392,Khach Hang 270,1982-08-12,Nam,Can Tho,2797
KH0271,0937242800,Khach Hang 271,1980-12-02,Nu,Hai Phong,2971
KH0272,0780901565,Khach Hang 272,1987-06-17,Nam,Hai Phong,217
KH0273,0821690555,Khach Hang 273,1982-10-23,Nu,Can Tho,4415
KH0274,0350080494,Khach Hang 274,1987-03-07,Nam,Hai Phong,2159
KH0275,0323556564,Khach Hang 275,1983-05-02,Nu,Binh Duong,2701
KH0276,0785966637,Khach Hang 276,1977-01-10,Nam,Hai Phong,3062
KH0277,0812888093,Khach Hang 277,1988-08-09,Nu,Da Nang,2865
KH0278,0984424077,Khach Hang 278,2002-02-04,Nam,Can Tho,2315
KH0279,0899041750,Khach Hang 279,2003-08-25,Nu,Hai Phong,4512
KH0280,0792941352,Khach Hang 280,1977-09-30,Nam,Binh Duong,2516
KH0281,0798994625,Khach Hang 281,1970-06-20,Nu,Dong Nai,3121
KH0282,0920961448,Khach Hang 282,1995-03-16,Nam,Ho Chi Minh,4746
KH0283,0848756673,Khach Hang 283,1997-08-17,Nu,Ha Noi,434
KH0284,0735897698,Khach Hang 284,2004-05-27,Nam,Binh Duong,768
KH0285,0969881306,Khach Hang 285,1970-01-29,Nu,Khanh Hoa,3377
KH0286,0878630486,Khach Hang 286,1973-12-28,Nam,Khanh Hoa,4594
KH0287,0831418494,Khach Hang 287,1973-03-18,Nu,Hai Phong,2105
KH0288,0872766692,Khach Hang 288,1994-05-24,Nam,Khanh Hoa,62
KH0289,0868595052,Khach Hang 289,1986-05-18,Nu,Ho Chi Minh,1097
KH0290,0335744436,Khach Hang 290,1973-05-09,Nam,Ha Noi,3706
KH0291,0957419552,Khach Hang 291,1993-10-13,Nu,Ho Chi Minh,2989
KH0292,0751562854,Khach Hang 292,2000-01-13,Nam,Hai Phong,3087
KH0293,0323162249,Khach Hang 293,1990-08-25,Nu,Can Tho,1506
KH0294,0319719559,Khach Hang 294,2002-06-06,Nam,Can Tho,687
KH0295,0353171047,Khach Hang 295,1971-01-21,Nu,Dong Nai,1998
KH0296,0899028619,Khach Hang 296,1971-03-11,Nam,Binh Duong,1761
KH0297,0935236010,Khach Hang 297,1995-06-05,Nu,Can Tho,875
KH0298,0979334361,Khach Hang 298,1979-07-14,Nam,Can Tho,3665
KH0299,0871560786,Khach Hang 299,1996-06-19,Nu,Binh Duong,4832
KH0300,0889965903,Khach Hang 300,1996-09-20,Nam,Binh Duong,1318
KH0301,0733035445,Khach Hang 301,1996-05-31,Nu,Binh Duong,3154
KH0302,0893701413,Khach Hang 302,1982-09-12,Nam,Can Tho,344
KH0303,0767758370,Khach Hang 303,2001-01-04,Nu,Ho Chi Minh,478
KH0304,0724187436,Khach Hang 304,2003-07-17,Nam,Dong Nai,3870
KH0305,0778825294,Khach Hang 305,2000-10-03,Nu,Can Tho,2444
KH0306,0735747513,Khach Hang 306,1971-03-24,Nam,Can Tho,3110
KH0307,0784854653,Khach Hang 307,1998-08-19,Nu,Khanh Hoa,1448
KH0308,0934172961,Khach Hang 308,1994-02-12,Nam,Hai Phong,2211
KH0309,0866082868,Khach Hang 309,1970-08-10,Nu,Ha Noi,663
KH0310,0869944357,Khach Hang 310,2004-06-30,Nam,Da Nang,2246
KH0311,0767116397,Khach Hang 311,1978-04-30,Nu,Dong Nai,3094
KH0312,0933205106,Khach Hang 312,1973-12-24,Nam,Hai Phong,1988
KH0313,0392852215,Khach Hang 313,1993-05-04,Nu,Binh Duong,4234
KH0314,0394324492,Khach Hang 314,1983-02-05,Nam,Ho Chi Minh,1012
KH0315,0971105364,Khach Hang 315,1992-07-12,Nu,Ho Chi Minh,2128
KH0316,0763779255,Khach Hang 316,1971-02-07,Nam,Dong Nai,4956
KH0317,0929150457,Khach Hang 317,1992-11-12,Nu,Hai Phong,2638
KH0318,0774434662,Khach Hang 318,1976-04-26,Nam,Binh Duong,802
KH0319,0357713256,Khach Hang 319,1974-03-24,Nu,Khanh Hoa,3747
KH0320,0359805986,Khach Hang 320,2000-07-30,Nam,Hai Phong,2295
KH0321,0314440560,Khach Hang 321,1985-11-19,Nu,Ho Chi Minh,4820
KH0322,0936921077,Khach Hang 322,1989-09-05,Nam,Binh Duong,1075
KH0323,0819608476,Khach Hang 323,1972-04-23,Nu,Dong Nai,1229
KH0324,0880030768,Khach Hang 324,1995-01-13,Nam,Ha Noi,2058
KH0325,0858338406,Khach Hang 325,1994-06-13,Nu,Ha Noi,4003
KH0326,0838111315,Khach Hang 326,1976-09-17,Nam,Ha Noi,470
KH0327,0799786565,Khach Hang 327,1996-09-04,Nu,Can Tho,1533
KH0328,0923872894,Khach Hang 328,1984-09-22,Nam,Dong Nai,144
KH0329,0398516235,Khach Hang 329,2003-03-10,Nu,Da Nang,3003
KH0330,0871110293,Khach Hang 330,1976-07-19,Nam,Da Nang,527
KH0331,0323186955,Khach Hang 331,2004-11-29,Nu,Khanh Hoa,1167
KH0332,0787678652,Khach Hang 332,1984-03-20,Nam,Dong Nai,1589
KH0333,0888284266,Khach Hang 333,2003-06-27,Nu,Hai Phong,571
KH0334,0364082266,Khach Hang 334,1983-08-30,Nam,Can Tho,1155
KH0335,0356809952,Khach Hang 335,1979-07-29,Nu,Can Tho,2997
KH0336,0762211866,Khach Hang 336,1974-12-02,Nam,Da Nang,3834
KH0337,0935056181,Khach Hang 337,1984-05-20,Nu,Ho Chi Minh,31
KH0338,0768332129,Khach Hang 338,1986-12-22,Nam,Can Tho,3704
KH0339,0371135090,Khach Hang 339,1985-07-13,Nu,Binh Duong,2226
KH0340,0963824323,Khach Hang 340,1979-07-29,Nam,Can Tho,2428
KH0341,0374998965,Khach Hang 341,1988-08-08,Nu,Can Tho,4858
KH0342,0724180917,Khach Hang 342,1978-09-29,Nam,Binh Duong,2644
KH0343,0993898505,Khach Hang 343,2003-03-20,Nu,Hai Phong,3377
KH0344,0718255203,Khach Hang 344,1982-06-03,Nam,Hai Phong,2664
KH0345,0932968780,Khach Hang 345,1987-09-15,Nu,Dong Nai,3488
