MANV,MACH,HOTEN,GIOITINH,NGAYSINH,CHUCVU,LUONG,NGAYVAOLAM
NV0107,CH3,Phạm Minh Tuấn,Nu,1999-07-12,Nhan vien,8831611,2016-12-05
NV0110,CH3,Nguyễn Hoàng Dũng,Nam,1997-12-30,Quan ly,22912955,2023-06-22
NV0113,CH3,Huỳnh Văn Minh,Nu,2002-04-27,Nhan vien,7914011,2021-09-25
NV0116,CH3,Đỗ Thanh An,Nam,1993-08-09,Nhan vien,8541653,2016-08-26
NV0119,CH3,Trần Ngọc Hùng,Nu,1997-01-26,Nhan vien,8128314,2017-11-01
NV0122,CH3,Bùi Hoàng Nam,Nam,2001-07-09,Nhan vien,9234153,2015-02-21
NV0125,CH3,Huỳnh Thanh Hùng,Nu,1986-05-24,Ke toan,12812642,2022-01-27
NV0128,CH3,Bùi Văn Dũng,Nam,1992-09-08,Nhan vien,9058445,2022-10-03
NV0131,CH3,Đỗ Gia Hùng,Nu,1997-12-15,Nhan vien,8915536,2018-07-20
NV0134,CH3,Huỳnh Thị Minh,Nam,2001-05-31,Nhan vien,9961744,2015-02-10
NV0137,CH3,Phạm Thanh Khánh,Nu,2000-10-28,Nhan vien,7421434,2020-07-12
NV0140,CH3,Võ Thanh Minh,Nam,1995-11-06,Quan ly,17982941,2019-10-19
NV0143,CH3,Đặng Thị Long,Nu,1998-06-14,Nhan vien,7957060,2018-06-25
NV0146,CH3,Phạm Hoàng Quang,Nam,1998-11-04,Nhan vien,7927371,2015-02-09
NV0149,CH3,Bùi Minh An,Nu,1991-03-27,Nhan vien,8542024,2015-04-27
NV0152,CH3,Trần Gia Trang,Nam,1989-05-09,Nhan vien,8710902,2016-12-02
NV0155,CH3,Võ Gia Long,Nu,1988-08-02,Ke toan,16356411,2017-09-28
NV0158,CH3,Huỳnh Hoàng Cường,Nam,1990-11-04,Nhan vien,9526778,2015-10-12
NV0161,CH3,Bùi Minh Trang,Nu,2000-12-25,Nhan vien,7944473,2023-02-01
NV0164,CH3,Võ Ngọc Tuấn,Nam,1995-05-30,Nhan vien,9882246,2022-11-30
NV0167,CH3,Hoàng Minh Long,Nu,1991-05-06,Nhan vien,8791666,2015-02-20
NV0170,CH3,Phạm Gia Hương,Nam,2002-06-02,Quan ly,23943037,2023-10-21
NV0173,CH3,Trần Thanh Minh,Nu,1985-05-23,Nhan vien,9028301,2018-03-17
NV0176,CH3,Phạm Hoàng Cường,Nam,1987-05-17,Nhan vien,7342031,2019-09-25
NV0179,CH3,Phạm Thị An,Nu,2001-08-05,Nhan vien,8096964,2023-04-15
NV0182,CH3,Nguyễn Gia Minh,Nam,1996-07-12,Nhan vien,7229778,2022-01-22
NV0185,CH3,Đặng Gia Trang,Nu,1999-05-20,Ke toan,16220955,2019-01-12
NV0188,CH3,Phạm Thanh Nam,Nam,1994-03-12,Nhan vien,8618576,2015-08-07
NV0191,CH3,Hoàng Thị Nam,Nu,2000-03-23,Nhan vien,7596512,2023-02-08
NV0194,CH3,Võ Ngọc Hùng,Nam,2002-06-06,Nhan vien,9196516,2022-11-11
NV0197,CH3,Võ Văn Long,Nu,1990-06-28,Nhan vien,9220899,2018-02-15
NV0200,CH3,Nguyễn Minh Phúc,Nam,1993-05-28,Quan ly,24165365,2021-07-06
NV0203,CH3,Đặng Thị Nam,Nu,1987-07-28,Nhan vien,9446064,2022-12-03
NV0206,CH3,Lê Thanh Linh,Nam,1997-11-09,Nhan vien,8600543,2020-11-14
NV0209,CH3,Trần Ngọc Trang,Nu,1999-11-20,Nhan vien,7035474,2016-11-29
NV0212,CH3,Võ Minh Long,Nam,1988-11-20,Nhan vien,7465417,2015-02-25
NV0215,CH3,Hoàng Thanh Cường,Nu,2002-04-16,Ke toan,15555629,2015-12-16
NV0218,CH3,Nguyễn Thanh An,Nam,1995-10-05,Nhan vien,7704562,2015-01-26
NV0221,CH3,Lê Hoàng Dũng,Nu,1985-11-14,Nhan vien,8608046,2021-06-13
NV0224,CH3,Lê Gia Dũng,Nam,1989-05-08,Nhan vien,8567795,2023-04-15
NV0227,CH3,Đỗ Ngọc Tuấn,Nu,1995-12-24,Nhan vien,9082971,2022-10-28
NV0230,CH3,Trần Ngọc Phúc,Nam,1992-10-06,Quan ly,15023081,2016-02-10
NV0233,CH3,Huỳnh Gia Trang,Nu,1989-11-11,Nhan vien,7051766,2023-01-07
NV0236,CH3,Đặng Văn Trang,Nam,1989-06-25,Nhan vien,8736048,2015-02-15
NV0239,CH3,Bùi Ngọc Nam,Nu,1991-11-18,Nhan vien,8336861,2017-11-12
NV0242,CH3,Huỳnh Thanh Minh,Nam,1992-11-21,Nhan vien,8414890,2020-08-16
NV0245,CH3,Đỗ Gia Tuấn,Nu,1991-11-14,Ke toan,12526759,2017-08-09
NV0248,CH3,Phạm Minh Nam,Nam,1996-07-01,Nhan vien,9096148,2019-05-31
NV0251,CH3,Trần Thị Trang,Nu,1988-05-02,Nhan vien,8171420,2018-07-28
NV0254,CH3,Đặng Thanh An,Nam,2000-06-21,Nhan vien,8445834,2018-01-15
NV0257,CH3,Hoàng Ngọc Tài,Nu,2001-02-12,Nhan vien,8177806,2019-02-28
NV0260,CH3,Huỳnh Ngọc Linh,Nam,1996-04-11,Quan ly,21588374,2015-03-08
NV0263,CH3,Huỳnh Văn Khánh,Nu,1997-12-23,Nhan vien,7861294,2018-07-20
NV0266,CH3,Trần Thanh Long,Nam,1987-10-01,Nhan vien,8672980,2021-04-05
NV0269,CH3,Bùi Thị Nam,Nu,2002-10-14,Nhan vien,8962552,2020-09-23
NV0272,CH3,Trần Thanh An,Nam,1989-11-16,Nhan vien,8166270,2018-10-25
NV0275,CH3,Lê Văn Nam,Nu,1986-11-16,Ke toan,14879284,2021-10-30
NV0278,CH3,Đỗ Ngọc Bình,Nam,1992-08-21,Nhan vien,9317591,2019-03-04
NV0281,CH3,Bùi Thanh Trang,Nu,1997-12-07,Nhan vien,7627852,2017-06-09
NV0284,CH3,Đặng Minh Trang,Nam,1998-03-08,Nhan vien,7748415,2018-01-24
NV0287,CH3,Phạm Ngọc Long,Nu,1989-09-27,Nhan vien,9542015,2015-04-29
NV0290,CH3,Bùi Văn Khánh,Nam,2000-02-14,Quan ly,20187670,2018-05-31
NV0293,CH3,Nguyễn Thị Phúc,Nu,2000-06-27,Nhan vien,9480098,2018-11-15
NV0296,CH3,Hoàng Thanh Long,Nam,1999-08-17,Nhan vien,7522903,2020-06-30
NV0299,CH3,Trần Văn Khánh,Nu,1996-05-29,Nhan vien,9711627,2015-05-31
NV0302,CH3,Hoàng Ngọc Tuấn,Nam,1988-03-15,Nhan vien,7878957,2016-09-10
NV0305,CH3,Võ Ngọc Quang,Nu,1998-09-08,Ke toan,12566895,2020-08-15
NV0308,CH3,Hoàng Gia Bình,Nam,1996-02-21,Nhan vien,9595435,2016-04-22
NV0311,CH3,Đặng Văn Hương,Nu,1999-08-11,Nhan vien,8047136,2021-11-23
NV0314,CH3,Lê Minh Trang,Nam,1999-04-15,Nhan vien,7437056,2020-05-27
NV0317,CH3,Trần Minh Nam,Nu,1997-03-18,Nhan vien,7978476,2021-02-15
NV0320,CH3,Bùi Hoàng Trang,Nam,1986-11-25,Quan ly,22465303,2016-04-12
NV0323,CH3,Đặng Thanh Bình,Nu,1997-10-04,Nhan vien,9356176,2016-07-05
NV0326,CH3,Trần Văn Minh,Nam,1998-06-08,Nhan vien,7897256,2022-02-22
NV0329,CH3,Phạm Thanh Dũng,Nu,2000-04-02,Nhan vien,7178932,2020-07-08
NV0332,CH3,Bùi Ngọc Nam,Nam,1988-07-21,Nhan vien,7332095,2016-01-14
NV0335,CH3,Bùi Thị Tuấn,Nu,1990-04-03,Ke toan,17457278,2020-01-30
NV0338,CH3,Huỳnh Thanh Nam,Nam,1999-01-11,Nhan vien,7186288,2015-03-14
NV0341,CH3,Lê Hoàng Hương,Nu,1985-04-09,Nhan vien,7729758,2023-08-26
NV0344,CH3,Phạm Gia Tuấn,Nam,1996-11-10,Nhan vien,8951339,2020-10-27
NV0347,CH3,Võ Hoàng Hùng,Nu,1997-01-27,Nhan vien,7519386,2020-10-11
NV0350,CH3,Trần Thanh Linh,Nam,1990-08-08,Quan ly,16012747,2019-09-17
NV0353,CH3,Võ Thanh Hùng,Nu,1996-12-25,Nhan vien,8305765,2017-03-08
NV0356,CH3,Trần Thanh Quang,Nam,2000-12-21,Nhan vien,9925672,2023-10-31
NV0359,CH3,Đỗ Văn Minh,Nu,1993-08-27,Nhan vien,8907163,2023-02-25
NV0362,CH3,Đặng Thị Phúc,Nam,1995-05-07,Nhan vien,7338866,2020-09-22
NV0365,CH3,Huỳnh Hoàng Hùng,Nu,2000-02-10,Ke toan,12202152,2023-06-19
NV0368,CH3,Lê Thị Cường,Nam,1999-12-03,Nhan vien,8285100,2015-06-18
NV0371,CH3,Đặng Gia Hùng,Nu,1996-11-24,Nhan vien,8049675,2018-09-11
NV0374,CH3,Đặng Minh Khánh,Nam,1998-07-25,Nhan vien,7694405,2016-03-07
NV0377,CH3,Hoàng Hoàng Phúc,Nu,1998-04-04,Nhan vien,9044400,2023-11-11
NV0380,CH3,Đỗ Minh Phúc,Nam,1994-05-06,Quan ly,17157488,2023-07-16
NV0383,CH3,Đỗ Ngọc Hương,Nu,1993-01-31,Nhan vien,7367427,2017-08-04
NV0386,CH3,Phạm Ngọc Long,Nam,1987-09-17,Nhan vien,8249388,2019-08-19
NV0389,CH3,Hoàng Thanh Linh,Nu,1988-01-24,Nhan vien,9115936,2022-01-09
NV0392,CH3,Huỳnh Ngọc Trang,Nam,1987-05-06,Nhan vien,9775343,2023-03-01
NV0395,CH3,Lê Minh Hương,Nu,1986-08-05,Ke toan,12906583,2015-11-24
NV0398,CH3,Lê Thanh Minh,Nam,1991-01-17,Nhan vien,9090427,2021-07-13
NV0401,CH3,Nguyễn Minh Dũng,Nu,1997-01-15,Nhan vien,9264947,2016-09-04
NV0404,CH3,Trần Ngọc Minh,Nam,1993-09-01,Nhan vien,9775694,2017-01-11
NV0407,CH3,Đặng Ngọc Phúc,Nu,1991-05-17,Nhan vien,7412446,2020-07-22
NV0410,CH3,Đặng Văn Dũng,Nam,2000-04-25,Quan ly,15868618,2023-08-24
NV0413,CH3,Bùi Hoàng Hùng,Nu,1987-01-15,Nhan vien,9436435,2021-12-08
NV0416,CH3,Hoàng Văn Tài,Nam,1988-12-18,Nhan vien,8100566,2017-02-20
NV0419,CH3,Trần Ngọc Tài,Nu,1989-02-12,Nhan vien,8364977,2022-04-28
NV0422,CH3,Phạm Văn Linh,Nam,1999-11-12,Nhan vien,8926983,2023-03-25
NV0425,CH3,Huỳnh Thị Hùng,Nu,1988-12-28,Ke toan,13814002,2015-01-11
NV0428,CH3,Phạm Minh Hùng,Nam,1990-10-19,Nhan vien,8483182,2019-10-21
NV0431,CH3,Lê Văn An,Nu,1996-01-10,Nhan vien,7197319,2023-04-07
NV0434,CH3,Nguyễn Thị Nam,Nam,2001-07-04,Nhan vien,8393789,2019-04-01
NV0437,CH3,Đặng Hoàng Tài,Nu,1999-10-14,Nhan vien,7132512,2016-05-18
NV0440,CH3,Đỗ Văn Phúc,Nam,1989-01-28,Quan ly,20879403,2022-03-04
NV0443,CH3,Võ Ngọc Dũng,Nu,1998-02-20,Nhan vien,7932745,2016-08-07
NV0446,CH3,Đỗ Thị Cường,Nam,2001-01-14,Nhan vien,7252081,2017-11-11
NV0449,CH3,Đặng Gia Trang,Nu,2000-01-02,Nhan vien,8984445,2020-10-09
NV0452,CH3,Võ Hoàng Minh,Nam,1985-01-30,Nhan vien,9484117,2015-05-21
NV0455,CH3,Huỳnh Hoàng Quang,Nu,2002-09-07,Ke toan,14693113,2018-01-07
NV0458,CH3,Trần Văn Trang,Nam,1988-08-01,Nhan vien,9732671,2017-09-28
NV0461,CH3,Đỗ Gia Quang,Nu,1988-02-10,Nhan vien,9451789,2015-11-18
NV0464,CH3,Hoàng Gia Phúc,Nam,1988-03-18,Nhan vien,7372011,2020-02-05
NV0467,CH3,Phạm Thanh Dũng,Nu,1990-06-18,Nhan vien,7953653,2016-02-06
NV0470,CH3,Đỗ Thị Trang,Nam,1992-07-25,Quan ly,24082945,2018-04-09
NV0473,CH3,Nguyễn Thị Nam,Nu,1988-06-26,Nhan vien,7360230,2020-06-27
NV0476,CH3,Đỗ Ngọc Tuấn,Nam,2000-12-05,Nhan vien,9272438,2019-08-11
NV0479,CH3,Võ Hoàng Linh,Nu,1993-09-07,Nhan vien,7865559,2017-04-28
NV0482,CH3,Đỗ Gia Cường,Nam,1990-01-10,Nhan vien,8514786,2018-10-28
NV0485,CH3,Hoàng Hoàng Trang,Nu,2000-09-02,Ke toan,16225446,2016-08-04
NV0488,CH3,Bùi Văn Tài,Nam,1991-08-28,Nhan vien,8525708,2015-05-09
NV0491,CH3,Nguyễn Thị Tuấn,Nu,1985-11-02,Nhan vien,7299018,2020-06-18
NV0494,CH3,Lê Thanh Nam,Nam,1995-11-06,Nhan vien,9804400,2021-05-25
NV0497,CH3,Lê Thị Tuấn,Nu,1992-05-03,Nhan vien,8263697,2022-11-02
NV0500,CH3,Trần Hoàng Bình,Nam,1991-05-21,Quan ly,24814516,2015-09-04
NV0503,CH3,Đỗ Hoàng Tuấn,Nu,1994-09-18,Nhan vien,8169279,2019-09-25
NV0506,CH3,Lê Thanh Linh,Nam,1989-12-22,Nhan vien,8500349,2017-03-21
NV0509,CH3,Đỗ Hoàng Cường,Nu,1990-09-12,Nhan vien,7665798,2017-07-26
NV0512,CH3,Lê Văn Dũng,Nam,1992-01-01,Nhan vien,9525415,2023-05-25
NV0515,CH3,Phạm Văn Hùng,Nu,1997-08-30,Ke toan,18911984,2018-11-28
NV0518,CH3,Lê Thanh Hương,Nam,1999-07-21,Nhan vien,9226239,2020-08-29
NV0521,CH3,Huỳnh Thị Linh,Nu,1993-02-28,Nhan vien,8752324,2016-09-24
NV0524,CH3,Đỗ Văn Tài,Nam,2002-04-15,Nhan vien,8065259,2020-04-01
NV0527,CH3,Nguyễn Minh Phúc,Nu,1994-03-15,Nhan vien,7804506,2017-02-20
NV0530,CH3,Đặng Gia Bình,Nam,1996-05-10,Quan ly,16108404,2016-05-04
NV0533,CH3,Bùi Thị Bình,Nu,1991-02-09,Nhan vien,7241018,2016-09-21
NV0536,CH3,Nguyễn Thị Linh,Nam,1989-02-26,Nhan vien,8322607,2015-01-09
NV0539,CH3,Võ Hoàng Quang,Nu,2000-04-22,Nhan vien,8482403,2017-07-21
NV0542,CH3,Bùi Ngọc Tuấn,Nam,2002-06-05,Nhan vien,8912715,2017-04-13
NV0545,CH3,Huỳnh Minh Tuấn,Nu,2000-08-08,Ke toan,19027306,2018-01-06
NV0548,CH3,Huỳnh Thanh Hùng,Nam,2001-04-25,Nhan vien,8197091,2021-03-07
NV0551,CH3,Huỳnh Minh Khánh,Nu,2000-11-11,Nhan vien,8058505,2018-09-05
NV0554,CH3,Lê Văn Phúc,Nam,1986-04-20,Nhan vien,9142143,2017-12-10
NV0557,CH3,Đỗ Hoàng Hùng,Nu,1997-03-13,Nhan vien,8018151,2020-01-02
NV0560,CH3,Huỳnh Ngọc Minh,Nam,1989-12-17,Quan ly,22801086,2021-08-25
NV0563,CH3,Hoàng Thanh Hương,Nu,1999-12-16,Nhan vien,9129647,2023-10-18
NV0566,CH3,Võ Gia Trang,Nam,1985-03-04,Nhan vien,7819629,2021-07-30
NV0569,CH3,Nguyễn Ngọc Hương,Nu,1996-09-16,Nhan vien,8598387,2022-07-27
NV0572,CH3,Hoàng Văn Khánh,Nam,1995-12-31,Nhan vien,8870221,2018-08-02
NV0575,CH3,Đặng Minh An,Nu,1998-08-19,Ke toan,13010334,2016-12-29
NV0578,CH3,Võ Văn Tài,Nam,1991-12-12,Nhan vien,9557623,2016-07-01
NV0581,CH3,Lê Thị Bình,Nu,1990-01-22,Nhan vien,7328639,2015-08-15
NV0584,CH3,Đặng Gia An,Nam,1988-10-21,Nhan vien,9630796,2017-10-02
NV0587,CH3,Bùi Ngọc Trang,Nu,1997-10-13,Nhan vien,8032941,2020-05-03
NV0590,CH3,Nguyễn Thị Trang,Nam,1988-02-27,Quan ly,17197562,2020-11-26
NV0593,CH3,Đỗ Gia An,Nu,1990-01-14,Nhan vien,9540349,2020-12-06
NV0596,CH3,Nguyễn Gia Tài,Nam,2002-09-25,Nhan vien,9760566,2023-04-08
NV0599,CH3,Bùi Minh Cường,Nu,1986-03-09,Nhan vien,7041471,2021-08-31
NV0602,CH3,Nguyễn Ngọc Tuấn,Nam,1991-11-29,Nhan vien,7897587,2020-10-14
NV0605,CH3,Huỳnh Thị Dũng,Nu,1986-07-25,Ke toan,16293693,2022-11-25
NV0608,CH3,Bùi Minh Khánh,Nam,1998-10-24,Nhan vien,9656741,2021-09-02
NV0611,CH3,Trần Ngọc Linh,Nu,1994-10-11,Nhan vien,8466316,2020-06-20
NV0614,CH3,Nguyễn Minh Phúc,Nam,1988-08-11,Nhan vien,7514433,2021-07-24
NV0617,CH3,Hoàng Minh Bình,Nu,1991-01-18,Nhan vien,9897097,2020-07-18
NV0620,CH3,Đặng Hoàng Quang,Nam,1988-01-03,Quan ly,20962814,2016-07-03
NV0623,CH3,Trần Ngọc Trang,Nu,1986-02-26,Nhan vien,7785579,2017-04-23
NV0626,CH3,Trần Văn Quang,Nam,1997-07-16,Nhan vien,7523526,2017-10-08
NV0629,CH3,Lê Ngọc Linh,Nu,1991-08-22,Nhan vien,8210590,2023-05-03
NV0632,CH3,Hoàng Ngọc Bình,Nam,1991-12-26,Nhan vien,9859324,2016-12-15
NV0635,CH3,Nguyễn Thị Linh,Nu,1995-10-20,Ke toan,18341706,2016-11-07
NV0638,CH3,Huỳnh Hoàng Bình,Nam,1991-11-05,Nhan vien,7840296,2015-03-20
NV0641,CH3,Trần Gia Hùng,Nu,1997-05-08,Nhan vien,7259040,2016-02-07
NV0644,CH3,Phạm Văn An,Nam,1985-02-26,Nhan vien,7540616,2019-02-10
NV0647,CH3,Hoàng Ngọc Linh,Nu,1998-02-07,Nhan vien,7080276,2021-03-24
NV0650,CH3,Lê Thanh Cường,Nam,2002-12-14,Quan ly,21928089,2022-09-11
NV0653,CH3,Huỳnh Ngọc Cường,Nu,1998-12-08,Nhan vien,8139975,2017-03-03
NV0656,CH3,Lê Thanh Tài,Nam,2001-08-28,Nhan vien,8649447,2021-07-30
NV0659,CH3,Phạm Thanh Hương,Nu,1994-03-12,Nhan vien,7712677,2018-10-26
NV0662,CH3,Đỗ Văn Cường,Nam,1998-10-01,Nhan vien,9000682,2018-03-08
NV0665,CH3,Đỗ Văn Hùng,Nu,2001-10-17,Ke toan,17114329,2019-12-27
NV0668,CH3,Lê Thanh Khánh,Nam,1994-04-18,Nhan vien,8583353,2022-08-01
NV0671,CH3,Hoàng Thị Khánh,Nu,1991-10-29,Nhan vien,8012257,2021-08-20
NV0674,CH3,Trần Minh Long,Nam,1994-05-07,Nhan vien,9570438,2015-06-17
NV0677,CH3,Bùi Ngọc Khánh,Nu,1997-01-14,Nhan vien,8327730,2023-06-24
NV0680,CH3,Đỗ Văn An,Nam,1985-03-23,Quan ly,15339079,2018-04-04
NV0683,CH3,Đỗ Ngọc An,Nu,2002-07-15,Nhan vien,9352566,2019-09-12
NV0686,CH3,Võ Minh Linh,Nam,2000-03-04,Nhan vien,9584463,2015-01-09
NV0689,CH3,Đặng Hoàng Long,Nu,1997-07-25,Nhan vien,9569248,2016-06-04
NV0692,CH3,Huỳnh Hoàng Hùng,Nam,1995-04-28,Nhan vien,9396553,2019-08-03
NV0695,CH3,Trần Minh Linh,Nu,1989-05-03,Ke toan,14546336,2016-08-09
NV0698,CH3,Đỗ Hoàng Minh,Nam,1995-05-05,Nhan vien,7091033,2015-08-17
NV0701,CH3,Phạm Thanh Khánh,Nu,2000-05-16,Nhan vien,9022809,2017-09-16
NV0704,CH3,Nguyễn Văn Tuấn,Nam,1985-05-11,Nhan vien,9669942,2019-07-11
NV0707,CH3,Nguyễn Văn Phúc,Nu,1986-10-13,Nhan vien,9316691,2016-07-07
NV0710,CH3,Trần Hoàng Hùng,Nam,1996-10-11,Quan ly,22651181,2015-04-06
NV0713,CH3,Võ Văn Long,Nu,1987-08-21,Nhan vien,7304328,2023-10-19
NV0716,CH3,Bùi Minh Dũng,Nam,1989-03-24,Nhan vien,7082468,2016-06-28
NV0719,CH3,Bùi Minh Hùng,Nu,1989-09-19,Nhan vien,7061955,2021-02-06
NV0722,CH3,Nguyễn Thị Quang,Nam,1998-06-01,Nhan vien,8823792,2019-04-06
NV0725,CH3,Huỳnh Gia Quang,Nu,1987-10-17,Ke toan,18569261,2017-02-08
NV0728,CH3,Đỗ Minh Hương,Nam,1995-06-22,Nhan vien,9581195,2022-11-09
NV0731,CH3,Nguyễn Gia Hương,Nu,1994-07-24,Nhan vien,8241054,2017-03-01
NV0734,CH3,Lê Gia Tuấn,Nam,1997-03-31,Nhan vien,7778760,2018-12-05
NV0737,CH3,Phạm Văn Linh,Nu,2002-06-25,Nhan vien,9092926,2016-03-23
NV0740,CH3,Võ Gia Hương,Nam,1997-06-04,Quan ly,15652468,2016-07-04
NV0743,CH3,Đặng Gia Tuấn,Nu,1999-10-22,Nhan vien,9754448,2016-12-14
NV0746,CH3,Hoàng Gia Hương,Nam,1997-04-09,Nhan vien,8115119,2015-09-16
NV0749,CH3,Hoàng Thanh Phúc,Nu,1994-10-09,Nhan vien,9963118,2022-08-23
NV0752,CH3,Bùi Thanh Nam,Nam,1988-05-10,Nhan vien,9677674,2022-11-24
NV0755,CH3,Lê Minh Bình,Nu,1993-02-16,Ke toan,18393797,2018-04-23
NV0758,CH3,Đặng Thị Long,Nam,2000-12-13,Nhan vien,9716670,2016-10-27
NV0761,CH3,Phạm Văn Minh,Nu,2000-06-11,Nhan vien,7633485,2022-04-13
NV0764,CH3,Trần Ngọc Hùng,Nam,1995-05-14,Nhan vien,9054043,2017-12-08
NV0767,CH3,Đặng Ngọc Long,Nu,1998-03-15,Nhan vien,8571519,2019-01-12
NV0770,CH3,Đỗ Thị Bình,Nam,1996-04-05,Quan ly,21698928,2019-10-18
NV0773,CH3,Đặng Thị Phúc,Nu,1988-02-26,Nhan vien,7858173,2015-03-26
NV0776,CH3,Huỳnh Minh Linh,Nam,1998-12-06,Nhan vien,7561523,2019-02-17
NV0779,CH3,Hoàng Thị Dũng,Nu,1990-07-31,Nhan vien,7662961,2015-07-05
NV0782,CH3,Nguyễn Ngọc Quang,Nam,1989-04-05,Nhan vien,7252797,2022-07-28
NV0785,CH3,Võ Gia Quang,Nu,1993-02-04,Ke toan,19237982,2015-03-28
NV0788,CH3,Huỳnh Thị An,Nam,2002-04-20,Nhan vien,8812715,2019-04-28
NV0791,CH3,Huỳnh Minh An,Nu,1999-02-19,Nhan vien,8872473,2022-08-09
NV0794,CH3,Đặng Minh Khánh,Nam,1989-06-25,Nhan vien,8151550,2022-04-04
NV0797,CH3,Huỳnh Gia Minh,Nu,1987-04-05,Nhan vien,9152115,2021-12-05
NV0800,CH3,Võ Ngọc Hương,Nam,1993-07-02,Quan ly,20017979,2020-09-04
NV0803,CH3,Bùi Hoàng Tài,Nu,1999-03-04,Nhan vien,8067641,2023-05-23
NV0806,CH3,Đỗ Gia Hùng,Nam,2001-11-08,Nhan vien,8823021,2022-08-30
NV0809,CH3,Đỗ Hoàng Cường,Nu,1991-09-19,Nhan vien,8358958,2020-08-18
NV0812,CH3,Đặng Gia Bình,Nam,1998-03-17,Nhan vien,7793898,2018-03-29
NV0815,CH3,Nguyễn Ngọc Long,Nu,1998-01-14,Ke toan,16309347,2018-04-03
NV0818,CH3,Bùi Văn Cường,Nam,1988-11-06,Nhan vien,7934394,2017-02-01
NV0821,CH3,Võ Minh Tuấn,Nu,1999-04-08,Nhan vien,7895647,2020-04-17
NV0824,CH3,Huỳnh Văn Khánh,Nam,1994-08-16,Nhan vien,8945072,2021-08-30
NV0827,CH3,Nguyễn Minh Linh,Nu,2001-09-29,Nhan vien,7659739,2021-07-12
NV0830,CH3,Huỳnh Thị Nam,Nam,1998-05-04,Quan ly,19738761,2018-01-14
